"Name	Microchip_identifier	Sex	Age (in years)	Tumour number	Tumour location	Tumour diagnostic	Site Name	Sample origin	"
"Red Velvet	9.82E+14	Male	3+	T1	Head	DFT2	Cygnet	Live trapping	"
"TD547	R00000020151130	Male	3+	T1	Head	DFT2	Cygnet	Roadkill	"
"Kettering 2	S0000000006148	Male	1	T1	Head	DFT2	Kettering	Carcass	"
"Unnamed Devil	9.82E+14	Male	3+	T1	Head	DFT2	NA	Live trapping	"
"Kalonga	9.82E+14	Male	2	T2	Head	DFT2	Nicholls Rivulet	Euthanised	"
"Kalonga	9.82E+14	Male	2	T1	Head	DFT2	Nicholls Rivulet	Euthanised	"
"""Female""	9.82E+14	Female	unknown	T1	Head	DFT2	Nicholls Rivulet	Live trapping	 "
"Sausage	9.82E+14	Male	3+	T1	Head	DFT2	Nicholls Rivulet	Live trapping	"
"Oyster Cove devil carcass	Unknown	Female	2	T1	Head	DFT2	Oyster Cove	Roadkill	"
"Snug, TD500	9.82E+14	Male	3+	T1	Head	DFT2	Snug	Euthanised	"
"Snug, TD500	9.82E+14	Male	3+	T2	Head	DFT2	Snug	Euthanised	"
"Margaret	9.82E+14	Female	3+	T1	Head	DFT2	Snug	Live trapping	"
"Teufel	9.82E+14	Male	1	T1	Head	DFT2	Snug	Live trapping	"
"Jarvis	9.82E+14	Male	2	T1	Head	DFT2	Snug Tiers	Euthanised	"
"TD549	Unknown	Male	2	T1	Head	DFT2	Woodbridge	Carcass	"
"Bali	9.82E+14	Female	3+	T1	Body	DFT2	Woodbridge	Live trapping	"
"Fleur	9.82E+14	Female	3+	T2	Body	DFT2	Woodbridge	Live trapping	"
"Fleur	9.82E+14	Female	3+	T1	Head	DFT2	Woodbridge	Live trapping	"
"Grawp	9.82E+14	Male	3+	T1	Head	DFT2	Woodbridge	Live trapping	"
"Grawp	9.82E+14	Male	3+	T4	Head	DFT2	Woodbridge	Live trapping	"
"Grawp	9.82E+14	Male	3+	T2	Head	DFT2	Woodbridge	Live trapping	"
"Grawp	9.82E+14	Male	3+	T3	Head	DFT2	Woodbridge	Live trapping	"
"Krum	9.82E+14	Male	3+	T4	Body	DFT2	Woodbridge	Live trapping	"
